score,content
1,"sangat jelek, saya tidak suka karena setiap saya call sma pacar saya selalu mati sendiri!"
1,Ini gimana kok code verifikasi saat masuk wa saya tidak masuk? Mohon di jawab
1,KOK FITUR MUSIK DI AK GADA SIHH
1,JELEK SETIAP BIKIN STORY JADI BURAM
1,mntap
1,apalah nih WhatsApp grup aku 2 kok kenak benned semua padahal satunya baru bikin capek lah aku dikit dikit benned dikit dikit benned
1,sering error tidak bisa mengirim pesan
1,ko aku belum ada fitur musik d status nya ya?
1,status vidio gak bisa full. padahal gak sampai 2 menit aq sangat kecewa semenjak wa di rilis untuk masalh ini
1,"update mulu, langsung aja ke versi terakhirnya aja bisa gk si, btw grafik pas post status benerin lh biar gk pecah, mls bgt klo mau post sw vidio/foto jadi burikkkk"
1,gampang kena spam.... gara gara nomor what's ap lain
1,sehari aktif dan besok nya kena spam .ingin d tinjau
1,Saya tny di akun saya kok gk bisa ya buat sttus di wa pakai lagu sdngkn di hp orng lain bisa. Pdhl hp ny versiny jg smaa versi lama versi android: 5.1.1
1,gk jelas wa di ban terus karena spam padahal gak spam sama sekali gmn sih wa gak jelas banget
1,aneh bgt udah 25 persen ngedonlowd eh ngulang lgi
1,"Kenapa aku tak bisa mela ku kan nya , ini semua"
1,"Halo tim dukungan WhatsApp, Saat ini Akun WhatsApp Saya Memerlukan Aplikasi Versi Resmi, Padahal Saya Telah Menggunakan Aplikasi Versi Resmi, Mohon untuk di tinjau kembali & Segera Selesaikan masalah ini, Terimakasih"
1,"Aplikasi nya gak jelas, tiap buka status teman yang ada pamer pacarnya, mentang² gw g punya pacar gitu?, trus pengguna isi wa ini pada seleb semua njir dichat hari ini balasnya Minggu depan keburu hilang topiknya , pokoknya gw rekomendasiin dah Pindah ke apk warna biru, disana kamu dihargai 🙏🙏🙏"
1,blum dpt tema cht nya 🙏🏻msi walpaper
1,mengapa riwayat chat saya selalu ke reset
1,Aneh .... ga bisa di download .. selalu gagal .. !!
1,kenapa wa saya tidak ada musiknya sedangkan wa orang lain udah ada musiknya ini gak adil
1,"Sistem gampang melemah, mohon diperbaiki secepatnya. saya sudah menghapus aplikasi terus download lagi namun sistemnya masih bug terus"
1,wanya sering eror klo hp mati pasti donlow lagi
1,"Apknya kadang lancar kadang nggak,,, padahal internet OK.."
1,"SAYA TIDAK MELAKUKAN SPAM,TETAPI KENAPA AKUN WHATSAPP SAYA TERDETEKSI MELAKUKAN SPAM,SEMUA PEKERJAAN SAYA ADA DI SANA SEMUA,TOLONG SEGERA PULIHKAN AKUN SAYA!!"
1,kenapa sering mati layar saya pas pesan suara dan telefon?..
1,Kenapa whatsapp ini tidak resmi?
1,Tdk bisa mengakses masuk
1,fitur barunya belum ada semua orang udah saya ko belum
1,tambahinnn lagii dongg jumlah pin chattnyaa
1,karna pas aku mau mau matikan chat audio gk bisa mati
1,gembel banget si skrng klo bikin sw kualitasnya gabisa hd potonya jadi burik👎 fiturnya juga bagusan sebelum di update
1,Akun lama aku hilang aku benci kayak gini tolong di per baiki
1,"knp orang lain liat status saya tapi dekat saya tidak ada satu penayangan?padahal teman""saya melihat status saya? tolong diperbaiki ya pihak WhatsApp"
1,kena banned terus padahal ngga spam
1,sering ngebug
1,"perbaiki lagi masalah video call, selalu sinyal buruk padahal sinyal bagus, ,selalu mendadak hilang sinyal saat video call. .aneh"
1,suara ketika tlp suka hilang walaupun sinyal bagus
1,"jaringan kencang tapi pada saat video call, yang kelihatan cuma kotak² tidak jelas"
1,"saya ga di block degan alasan spam, padahal itu kontak pribadi saya juga semua konsumen penting saya"
1,gaje bngt wa sekarang notif panggilan gadaa notif chat adaa😥
1,semakin lama ngompres video terlalu berlebihan
1,kalo ngirim pesan di saluran gaada tanda panah untuk di kirim ke sw
1,akun saya di app ini sudah 2x di blokir tdak tau apa sebab ny.
1,sepi
